running: frame = 17092 CIA cycles (ten frames 170922), $d031 = $00
  MHz   bad     bobs   fps   render    cyc/bob     frame    frac
    1    on       16   9.6   100039       6252     17092    5.85
    1    on       64   1.9   411520       6430     17092   24.08
    1    on      128   1.0   635876       4968     17092   37.20
    1    on      200   1.0  1065046       5325     17092   62.31
    1   off       16   5.9    94040       5878     17092    5.50
    1   off       64   2.9   383496       5992     17092   22.44
    1   off      128   1.0   592489       4629     17092   34.66
    1   off      200   1.0  1002783       5014     17092   58.67
    4    on       16  27.9    25136       1571     17092    1.47
    4    on       64   9.8   102459       1601     17092    5.99
    4    on      128   4.9   203751       1592     17092   11.92
    4    on      200   2.9   319630       1598     17092   18.70
    4   off       16  27.3    23374       1461     17092    1.37
    4   off       64  10.7    95314       1489     17092    5.58
    4   off      128   4.9   191408       1495     17092   11.20
    4   off      200   2.9   298605       1493     17092   17.47
    8    on       16  58.2    12769        798     17092    0.75
    8    on       64  17.7    51102        798     17092    2.99
    8    on      128   8.5   102574        801     17092    6.00
    8    on      200   5.9   159314        797     17092    9.32
    8   off       16  59.4    11967        748     17092    0.70
    8   off       64  20.4    47831        747     17092    2.80
    8   off      128   9.8    95706        748     17092    5.60
    8   off      200   6.8   149927        750     17092    8.77
   14    on       16  59.7     7218        451     17092    0.42
   14    on       64  30.1    28875        451     17092    1.69
   14    on      128  14.7    58149        454     17092    3.40
   14    on      200   9.8    90952        455     17092    5.32
   14   off       16  60.1     6876        430     17092    0.40
   14   off       64  29.4    27478        429     17092    1.61
   14   off      128  14.7    54954        429     17092    3.22
   14   off      200   9.7    85544        428     17092    5.00
   24    on       16  59.6     4048        253     17092    0.24
   24    on       64  45.1    16961        265     17092    0.99
   24    on      128  25.4    34070        266     17092    1.99
   24    on      200  14.7    53385        267     17092    3.12
   24   off       16  58.1     4036        252     17092    0.24
   24   off       64  59.8    15805        247     17092    0.92
   24   off      128  30.1    31966        250     17092    1.87
   24   off      200  20.5    49727        249     17092    2.91
   48    on       16  60.6     2037        127     17092    0.12
   48    on       64  59.5     8524        133     17092    0.50
   48    on      128  30.1    17397        136     17092    1.02
   48    on      200  29.4    26949        135     17092    1.58
   48   off       16  59.6     2060        129     17092    0.12
   48   off       64  59.6     8123        127     17092    0.48
   48   off      128  59.5    16325        128     17092    0.96
   48   off      200  30.0    25574        128     17092    1.50

copy 4096 bytes at  1 MHz, badlines on : REU stash   4161  REU fetch   4489  CPU  41415  (CIA cycles)
copy 4096 bytes at  1 MHz, badlines off: REU stash   4120  REU fetch   4489  CPU  41415  (CIA cycles)
copy 4096 bytes at 48 MHz, badlines on : REU stash    816  REU fetch   1197  CPU    823  (CIA cycles)
copy 4096 bytes at 48 MHz, badlines off: REU stash    815  REU fetch   1198  CPU    823  (CIA cycles)
left running: 48 MHz, badlines off, 128 bobs, 59.5 fps, render 16319 cycles of a 17092-cycle frame
wrote hw16.png
